排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
12,华泰期货,,-5985.0,20250904,Y2601,成交量,Y,9600.0
13,国信期货,,2106.0,20250904,Y2601,成交量,Y,9568.0
14,国投期货,,-6385.0,20250904,Y2601,成交量,Y,9507.0
15,浙商期货,,-1502.0,20250904,Y2601,成交量,Y,9468.0
16,南华期货,,1475.0,20250904,Y2601,成交量,Y,9055.0
17,一德期货,,143.0,20250904,Y2601,成交量,Y,7233.0
18,中泰期货,,-1396.0,20250904,Y2601,成交量,Y,7032.0
19,摩根大通,,-2776.0,20250904,Y2601,成交量,Y,6055.0
20,弘业期货,,-1543.0,20250904,Y2601,成交量,Y,5848.0
1,国泰君安,,6230.0,20250905,Y2601,成交量,Y,76435.0
2,东证期货,,11997.0,20250905,Y2601,成交量,Y,75095.0
3,中信期货,,-562.0,20250905,Y2601,成交量,Y,54908.0
4,光大期货,,1850.0,20250905,Y2601,成交量,Y,32215.0
5,广发期货,,2467.0,20250905,Y2601,成交量,Y,30677.0
6,国联期货,,-692.0,20250905,Y2601,成交量,Y,19408.0
7,华泰期货,,9519.0,20250905,Y2601,成交量,Y,19119.0
8,海通期货,,-1264.0,20250905,Y2601,成交量,Y,18263.0
9,银河期货,,978.0,20250905,Y2601,成交量,Y,17510.0
10,华闻期货,,-3449.0,20250905,Y2601,成交量,Y,15648.0
11,浙商期货,,5011.0,20250905,Y2601,成交量,Y,14479.0
12,中粮期货,,428.0,20250905,Y2601,成交量,Y,12961.0
13,徽商期货,,1294.0,20250905,Y2601,成交量,Y,12101.0
14,一德期货,,4724.0,20250905,Y2601,成交量,Y,11957.0
15,南华期货,,771.0,20250905,Y2601,成交量,Y,9826.0
16,国信期货,,34.0,20250905,Y2601,成交量,Y,9602.0
17,弘业期货,,3637.0,20250905,Y2601,成交量,Y,9485.0
18,国投期货,,-1328.0,20250905,Y2601,成交量,Y,8179.0
19,方正中期,,3898.0,20250905,Y2601,成交量,Y,7665.0
20,中泰期货,,470.0,20250905,Y2601,成交量,Y,7502.0
1,东证期货,,-11841.0,20250908,Y2601,成交量,Y,63254.0
2,中信期货,,2100.0,20250908,Y2601,成交量,Y,57008.0
3,国泰君安,,-27723.0,20250908,Y2601,成交量,Y,48712.0
4,广发期货,,2221.0,20250908,Y2601,成交量,Y,32898.0
5,浙商期货,,16693.0,20250908,Y2601,成交量,Y,31172.0
6,光大期货,,-6358.0,20250908,Y2601,成交量,Y,25857.0
7,海通期货,,729.0,20250908,Y2601,成交量,Y,18992.0
8,华泰期货,,-990.0,20250908,Y2601,成交量,Y,18129.0
9,华闻期货,,249.0,20250908,Y2601,成交量,Y,15897.0
10,银河期货,,-1928.0,20250908,Y2601,成交量,Y,15582.0
11,国投期货,,6757.0,20250908,Y2601,成交量,Y,14936.0
12,国联期货,,-6434.0,20250908,Y2601,成交量,Y,12974.0
13,徽商期货,,610.0,20250908,Y2601,成交量,Y,12711.0
14,中粮期货,,-2564.0,20250908,Y2601,成交量,Y,10397.0
15,国信期货,,-941.0,20250908,Y2601,成交量,Y,8661.0
16,一德期货,,-3654.0,20250908,Y2601,成交量,Y,8303.0
17,乾坤期货,,2416.0,20250908,Y2601,成交量,Y,7480.0
18,南华期货,,-2765.0,20250908,Y2601,成交量,Y,7061.0
19,中泰期货,,-588.0,20250908,Y2601,成交量,Y,6914.0
20,摩根大通,,2667.0,20250908,Y2601,成交量,Y,6717.0
1,东证期货,,-6785.0,20250909,Y2601,成交量,Y,56469.0
2,国泰君安,,-913.0,20250909,Y2601,成交量,Y,47799.0
3,中信期货,,-13750.0,20250909,Y2601,成交量,Y,43258.0
4,光大期货,,-2721.0,20250909,Y2601,成交量,Y,23136.0
5,广发期货,,-10133.0,20250909,Y2601,成交量,Y,22765.0
6,华泰期货,,-2111.0,20250909,Y2601,成交量,Y,16018.0
7,华闻期货,,-784.0,20250909,Y2601,成交量,Y,15113.0
8,浙商期货,,-17110.0,20250909,Y2601,成交量,Y,14062.0
9,海通期货,,-5677.0,20250909,Y2601,成交量,Y,13315.0
10,银河期货,,-3314.0,20250909,Y2601,成交量,Y,12268.0
11,徽商期货,,-876.0,20250909,Y2601,成交量,Y,11835.0
12,南华期货,,2857.0,20250909,Y2601,成交量,Y,9918.0
13,中粮期货,,-685.0,20250909,Y2601,成交量,Y,9712.0
14,申银万国,,2602.0,20250909,Y2601,成交量,Y,7929.0
15,国信期货,,-761.0,20250909,Y2601,成交量,Y,7900.0
16,国投期货,,-7242.0,20250909,Y2601,成交量,Y,7694.0
17,国联期货,,-8062.0,20250909,Y2601,成交量,Y,4912.0
18,宏源期货,,-671.0,20250909,Y2601,成交量,Y,4793.0
19,中泰期货,,-2583.0,20250909,Y2601,成交量,Y,4331.0
20,乾坤期货,,-3236.0,20250909,Y2601,成交量,Y,4244.0
1,国泰君安,,70753.0,20250910,Y2601,成交量,Y,118552.0
2,东证期货,,42567.0,20250910,Y2601,成交量,Y,99036.0
3,中信期货,,29058.0,20250910,Y2601,成交量,Y,72316.0
4,广发期货,,14222.0,20250910,Y2601,成交量,Y,36987.0
5,一德期货,,27770.0,20250910,Y2601,成交量,Y,31996.0
6,光大期货,,6220.0,20250910,Y2601,成交量,Y,29356.0
7,华泰期货,,11936.0,20250910,Y2601,成交量,Y,27954.0
8,华闻期货,,11467.0,20250910,Y2601,成交量,Y,26580.0
9,中粮期货,,16163.0,20250910,Y2601,成交量,Y,25875.0
10,海通期货,,12094.0,20250910,Y2601,成交量,Y,25409.0
11,浙商期货,,7940.0,20250910,Y2601,成交量,Y,22002.0
12,银河期货,,7085.0,20250910,Y2601,成交量,Y,19353.0
13,国投期货,,11480.0,20250910,Y2601,成交量,Y,19174.0
14,徽商期货,,3782.0,20250910,Y2601,成交量,Y,15617.0
