时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-01-23,13750,13780,13700,13710,3783,28870,13772.0,13761.0,13863.5,14040.75,-78.37331840890147,-76.49118248733635,-1.8821359215651228,24.13793103448276,82.14285714285714,-56.21092904834428,5172.35,5385000,28219.1,-10.0,-0.0346260387811603
2014-01-24,13725,13735,13640,13650,5109,29996,13750.0,13746.5,13846.25,14027.583333333334,-84.10205545817007,-78.0133570815031,-6.088698376666969,26.16822429906543,81.07142857142857,-69.77980265114373,5137.7,5379891,28381.4,1126.0,3.90024246622791
2014-01-27,13660,13680,13530,13560,7834,31894,13697.0,13727.5,13821.25,14013.916666666666,-94.8114414032334,-81.37297394584917,-13.438467457384236,21.77419354838709,88.92857142857143,-92.26081629138945,5046.05,5372057,28627.75,1898.0,6.327510334711284
2014-01-28,13575,13600,13500,13595,4773,32597,13657.0,13711.0,13799.25,14001.583333333334,-99.32949088835812,-84.96427733435097,-14.365213554007155,28.57142857142857,89.28571428571429,-90.48223776885833,4947.05,5376830,28932.1,703.0,2.204176334106722
2014-01-29,13585,13600,13555,13560,3945,32966,13615.0,13697.0,13775.5,13989.25,-104.52933603039855,-88.87728907356049,-15.652046956838063,29.059829059829056,85.71428571428571,-80.77278329762221,4806.65,5372885,29254.9,369.0,1.1320060128232612
2014-01-30,13545,13590,13495,13580,5101,33506,13589.0,13680.5,13751.75,13977.25,-105.81662967694864,-92.26515719423811,-13.551472482710524,31.932773109243698,88.57142857142857,-81.23999008608384,4927.2,5377986,29627.05,540.0,1.638051325608192
2014-01-31,13545,13590,13545,13580,5101,33506,13575.0,13662.5,13730.25,13965.166666666666,-105.6193055575568,-94.93598686690189,-10.683318690654929,34.54545454545455,84.64285714285714,-70.49907352611396,5052.2,5377986,30021.3,0.0,0.0
2014-02-07,13530,13550,13350,13350,6599,34255,13533.0,13615.0,13702.5,13949.25,-122.6086464263244,-100.47051877878638,-22.138127647538028,23.376623376623385,96.07142857142856,-115.49598435021936,5147.85,5371387,30455.0,749.0,2.2354205216976064
2014-02-10,13385,13430,13365,13385,6949,36242,13491.0,13574.0,13676.25,13934.75,-131.73011125027188,-106.72243727308349,-25.00767397718839,28.859060402684563,94.64285714285714,-106.60972848868876,5321.2,5378336,30950.05,1987.0,5.800613049189907
2014-02-11,13380,13410,13235,13265,10589,38638,13432.0,13523.5,13647.0,13918.75,-146.94800977330488,-114.76755177312776,-32.18045800017711,20.731707317073173,100.35714285714286,-114.8192200793702,5682.8,5367747,31526.85,2396.0,6.611114176921795
2014-02-12,13380,13380,13265,13340,9669,39286,13384.0,13486.5,13623.75,13904.083333333334,-151.2133375645899,-122.0567089314202,-29.156628633169703,26.13636363636364,104.28571428571428,-92.17657949850889,5919.0,5377416,32079.0,648.0,1.6771054402401786
2014-02-13,13365,13375,13320,13375,7816,40188,13343.0,13459.0,13602.75,13890.416666666666,-150.03986688751138,-127.65334052263844,-22.38652636487293,23.529411764705884,101.78571428571428,-74.06785970172106,6053.45,5385232,32666.2,902.0,2.2959833019396303
2014-02-14,13360,13460,13305,13450,8760,40249,13363.0,13448.0,13587.75,13877.666666666666,-141.4277190135872,-130.4082162208282,-11.019502792759,30.72625698324022,106.42857142857144,-54.10659529921715,6263.95,5393992,33213.35,61.0,0.1517866029660641
2014-02-17,13460,13575,13460,13515,11135,41333,13389.0,13440.0,13575.5,13866.5,-127.8834126278798,-129.90325550223852,2.019842874358716,36.36363636363636,110.35714285714286,-18.5737501891168,6514.5,5405127,33757.25,1084.0,2.693234614524576
2014-02-18,13500,13515,13385,13400,6555,42433,13416.0,13424.0,13560.5,13851.75,-124.98820491682454,-128.92024538515574,3.932040468331195,34.34343434343434,113.92857142857144,-39.23079769528502,6503.05,5398572,34273.6,1100.0,2.6613117847724688
2014-02-19,13420,13495,13415,13445,6063,42324,13437.0,13410.5,13545.5,13839.166666666666,-117.70576918973528,-126.67735014607166,8.971580956336368,39.48717948717949,113.92857142857144,-30.107143120637136,6476.9,5404635,34867.25,-109.0,-0.2568755449767868
2014-02-20,13455,13475,13395,13415,5564,40954,13445.0,13394.0,13528.25,13827.5,-113.05194325894264,-123.95226876864588,10.900325509703237,42.07650273224044,108.92857142857144,-33.27563483611376,6557.75,5399071,35394.6,-1370.0,-3.2369341272091456
2014-02-21,13480,13520,13465,13485,4489,42472,13452.0,13407.5,13511.25,13817.833333333334,-102.53339652388786,-119.66849431969428,17.135097795806416,44.21052631578947,109.28571428571428,-9.623929643558888,6471.85,5403560,35998.15,1518.0,3.706597646139565
2014-02-24,13510,13550,13355,13385,8790,42975,13426.0,13407.5,13490.75,13806.0,-101.10110610156516,-115.95501667606848,14.853910574503304,41.3793103448276,120.0,-26.827137000239,6632.95,5394770,36678.2,503.0,1.1843096628366911
2014-02-25,13330,13445,13320,13330,6349,43387,13412.0,13414.0,13468.75,13793.5,-103.21425627095232,-113.40686459504523,10.192608324092916,38.095238095238095,122.14285714285714,-49.4563550151577,6748.65,5388421,37403.55,412.0,0.9586969168120962
2014-02-26,13315,13385,13310,13375,7430,44404,13398.0,13417.5,13452.0,13783.333333333334,-100.1038838250788,-110.74626844105197,10.642384615973157,40.639269406392685,124.28571428571428,-50.884800245958175,6931.0,5395851,38180.25,1017.0,2.344020098186084
2014-02-27,13390,13425,13360,13365,7796,45354,13388.0,13416.5,13437.75,13772.666666666666,-97.32391813301,-108.06179837944356,10.737880246433562,50.85714285714286,112.5,-34.79736121856468,7065.35,5388055,38948.15,950.0,2.1394468966759783
2014-02-28,13360,13390,13330,13350,6093,46342,13361.0,13406.5,13427.25,13762.083333333334,-95.2333590508133,-105.49611051371753,10.26275146290422,47.953216374269005,111.07142857142856,-45.59665507731502,6978.3,5381962,39670.55,988.0,2.178418662080528
2014-03-03,13360,13360,13205,13235,10712,47607,13331.0,13378.5,13409.25,13749.833333333334,-101.68396536475302,-104.73368148392464,3.04971611917162,48.23529411764706,109.64285714285714,-87.89419639919788,7275.25,5371250,40421.05,1265.0,2.729705234992008
