date,symbol,close,volume,open_interest,roll_yield
20250923,RS2609,5557.0,22.0,1.0,0.0
20250924,RS2511,5280.0,33.0,35.0,0.006273674242424254
20250924,RS2607,5545.0,18.0,8.0,0.002164111812443359
20250924,RS2608,5546.0,35.0,3.0,0.015146051208079214
20250924,RS2609,5553.0,22.0,2.0,0.0
20250925,RS2511,5281.0,19.0,35.0,0.0066512024237833645
20250925,RS2607,5562.0,35.0,8.0,-0.028047464940669453
20250925,RS2608,5549.0,29.0,2.0,0.01297531086682202
20250925,RS2609,5555.0,24.0,2.0,0.0
20250926,RS2511,5445.0,67.0,52.0,0.0036271808999081834
20250926,RS2607,5603.0,27.0,9.0,-0.09423523112618204
20250926,RS2608,5559.0,38.0,2.0,0.04317323259579009
20250926,RS2609,5579.0,34.0,2.0,0.0
20250929,RS2511,5285.0,56.0,37.0,0.006315042573320717
20250929,RS2607,5552.0,27.0,8.0,0.025936599423632245
20250929,RS2608,5564.0,22.0,2.0,0.0021567217828897256
20250929,RS2609,5565.0,14.0,1.0,0.0
20250930,RS2511,5212.0,14.0,34.0,0.009209516500383735
20250930,RS2607,5596.0,2.0,7.0,-0.18441744102930713
20250930,RS2608,5510.0,2.0,2.0,0.054446460980035916
20250930,RS2609,5535.0,2.0,0.0,0.0
20251009,RS2511,5172.0,9.0,30.0,0.0
20251009,RS2607,0.0,0.0,7.0,0.0
20251009,RS2608,0.0,0.0,2.0,0.0
20251009,RS2609,0.0,0.0,0.0,0.0
20251010,RS2511,5268.0,7.0,29.0,0.0
20251010,RS2607,0.0,0.0,7.0,0.0
20251010,RS2608,0.0,0.0,2.0,0.0
20251010,RS2609,0.0,0.0,0.0,0.0
20251013,RS2511,5397.0,116.0,36.0,0.0
20251013,RS2607,0.0,0.0,7.0,0.0
20251013,RS2608,0.0,0.0,2.0,0.0
20251013,RS2609,5466.0,2.0,2.0,0.0
20251014,RS2511,5112.0,38.0,38.0,0.0
20251014,RS2607,0.0,0.0,7.0,0.0
20251014,RS2608,0.0,0.0,2.0,0.0
20251014,RS2609,5452.0,2.0,2.0,0.0
20251015,RS2511,5269.0,16.0,35.0,0.0
20251015,RS2607,0.0,0.0,7.0,0.0
20251015,RS2608,0.0,0.0,2.0,0.0
20251015,RS2609,0.0,0.0,2.0,0.0
20251016,RS2511,5255.0,6.0,33.0,0.0
20251016,RS2607,0.0,0.0,7.0,0.0
20251016,RS2608,0.0,0.0,2.0,0.0
20251016,RS2609,0.0,0.0,2.0,0.0
20251017,RS2511,5268.0,7.0,31.0,0.0
20251017,RS2607,0.0,0.0,7.0,0.0
20251017,RS2608,0.0,0.0,2.0,0.0
20251017,RS2609,0.0,0.0,2.0,0.0
20251020,RS2511,0.0,0.0,31.0,0.0
20251020,RS2607,0.0,0.0,7.0,0.0
20251020,RS2608,0.0,0.0,2.0,0.0
20251020,RS2609,0.0,0.0,2.0,0.0
20251021,RS2511,5331.0,13.0,31.0,0.005275745638716939
20251021,RS2607,5556.0,2.0,7.0,0.0
20251021,RS2608,0.0,0.0,2.0,0.0
20251021,RS2609,0.0,0.0,2.0,0.0
20251022,RS2511,5434.0,11.0,33.0,0.0
20251022,RS2607,0.0,0.0,7.0,0.0
20251022,RS2608,0.0,0.0,2.0,0.0
20251022,RS2609,0.0,0.0,2.0,0.0
20251023,RS2511,5341.0,42.0,29.0,0.007231791799288512
20251023,RS2607,5650.0,2.0,6.0,0.0
20251023,RS2608,0.0,0.0,2.0,0.0
20251023,RS2609,0.0,0.0,2.0,0.0
20251024,RS2511,5325.0,15.0,24.0,0.0
20251024,RS2607,0.0,0.0,6.0,0.0
20251024,RS2608,0.0,0.0,2.0,0.0
20251024,RS2609,0.0,0.0,2.0,0.0
20251027,RS2511,5344.0,4.0,22.0,0.0
20251027,RS2607,0.0,0.0,6.0,0.0
20251027,RS2608,0.0,0.0,2.0,0.0
20251027,RS2609,0.0,0.0,2.0,0.0
20251028,RS2511,5420.0,17.0,20.0,0.0
20251028,RS2607,0.0,0.0,6.0,0.0
20251028,RS2608,0.0,0.0,2.0,0.0
20251028,RS2609,0.0,0.0,2.0,0.0
20251029,RS2511,5312.0,24.0,13.0,0.004165097891566272
20251029,RS2607,5489.0,2.0,7.0,0.0
20251029,RS2608,0.0,0.0,2.0,0.0
20251029,RS2609,0.0,0.0,2.0,0.0
20251030,RS2511,5270.0,5.0,13.0,0.007329222011385195
20251030,RS2607,5579.0,1.0,6.0,0.0
20251030,RS2608,0.0,0.0,2.0,0.0
20251030,RS2609,0.0,0.0,2.0,0.0
20251031,RS2511,5310.0,7.0,13.0,0.0
20251031,RS2607,0.0,0.0,6.0,0.0
20251031,RS2608,0.0,0.0,2.0,0.0
20251031,RS2609,0.0,0.0,2.0,0.0
